TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK
<<<<<<< Updated upstream
1610612737,Atlanta Hawks,36,18,18,0.5,48.3,43.7,91.8,0.476,0.03,40.3,0.383,16.9,21.5,0.785,10.8,33.9,0.3,0.07,16.8,9.8,5.6,5.3,20.3,18.4,0.1,2.6,2,12,17,16,14,27,25,24,30,29,30,15,12,18,14,23,22,29,4,27,20,12,26,21,28,21
1610612738,Boston Celtics,36,26,10,0.722,48.4,40.6,89.8,0.452,0.85,36.2,0.355,14.3,17.9,0.798,10.3,33.8,0.48,0.9,13.6,7.0,4.1,5.6,18.9,16.2,0.83,-10.2,2,3,3,3,8,13,21,5,6,3,9,1,1,26,7,21,15,4,24,3,3,7,15,30,6,3
1610612751,Brooklyn Nets,35,13,22,0.371,48.3,40.6,83.4,0.486,0.5,36.2,0.376,18.7,24.4,0.767,9.7,33.0,0.8,0.3,15.3,8.2,6.0,3.7,19.5,21.5,0.5,5.7,9,24,24,24,12,12,2,30,16,4,26,27,27,7,2,14,7,22,11,15,25,29,22,2,16,24
1610612766,Charlotte Hornets,34,7,27,0.206,48.4,40.5,87.1,0.465,0.38,39.1,0.352,17.7,22.9,0.773,10.6,33.9,0.37,0.55,14.5,8.3,5.6,4.9,19.0,20.5,0.53,6.7,21,28,27,28,5,11,7,15,19,24,8,22,23,10,10,24,20,14,17,16,23,18,16,5,15,25
1610612741,Chicago Bulls,35,16,19,0.457,48.1,45.3,95.3,0.475,0.6,39.4,0.341,17.2,22.0,0.783,10.6,36.3,0.1,0.1,12.5,8.3,4.9,4.7,16.4,18.3,0.07,3.4,9,21,21,21,18,30,30,22,14,25,3,18,17,16,11,30,28,28,29,17,14,22,1,22,29,23
1610612739,Cleveland Cavaliers,35,31,4,0.886,48.0,40.3,89.5,0.45,0.6,36.8,0.364,16.8,21.3,0.789,11.1,33.0,0.48,0.82,15.5,7.5,4.6,4.7,18.7,18.4,0.75,-11.8,9,1,1,1,25,7,19,4,12,7,22,14,10,21,19,15,17,6,6,6,9,20,11,20,8,2
1610612742,Dallas Mavericks,35,20,15,0.571,48.1,41.3,90.7,0.455,0.8,36.2,0.356,16.7,21.7,0.769,11.9,32.2,0.48,0.38,14.2,8.5,4.2,6.0,19.2,19.1,0.57,-4.7,9,8,8,8,18,18,23,9,7,5,11,11,14,9,28,7,17,19,21,18,5,4,20,15,14,7
1610612743,Denver Nuggets,34,20,14,0.588,48.6,43.8,93.9,0.467,0.23,39.4,0.355,15.6,20.3,0.767,11.8,32.1,0.58,0.03,14.4,8.9,5.6,4.7,20.3,18.0,0.23,-3.5,21,8,7,7,1,28,29,17,24,26,10,7,7,6,27,5,14,30,18,20,21,21,27,24,24,8
1610612765,Detroit Pistons,35,17,18,0.486,48.6,41.1,87.6,0.47,0.23,37.1,0.379,17.4,22.3,0.779,9.9,32.2,0.9,0.82,14.7,9.7,4.9,5.0,17.7,20.4,0.45,1.9,9,16,17,19,2,16,9,19,25,10,28,20,19,13,5,6,4,6,16,25,13,16,3,6,18,19
1610612744,Golden State Warriors,35,18,17,0.514,48.1,40.3,88.7,0.454,0.68,38.1,0.348,17.2,22.0,0.783,10.8,34.5,0.22,0.55,15.4,8.0,6.1,5.4,17.8,19.5,0.67,-1.2,9,12,14,14,18,7,15,8,10,18,6,18,17,16,15,26,24,16,8,12,28,10,5,14,11,13
1610612745,Houston Rockets,35,23,12,0.657,48.4,38.8,87.7,0.442,0.97,34.8,0.357,16.7,22.7,0.739,10.7,32.7,0.7,0.97,15.1,7.7,6.1,5.4,20.0,19.8,0.93,-5.6,9,5,4,5,6,3,10,2,2,2,12,13,21,1,13,12,10,2,14,10,26,10,23,11,3,6
1610612754,Indiana Pacers,36,18,18,0.5,48.3,42.3,88.6,0.477,0.6,36.8,0.363,18.6,23.9,0.777,10.8,33.1,0.58,0.47,14.2,7.7,4.6,5.2,18.4,19.6,0.3,1.3,2,12,17,16,14,23,14,25,13,8,21,26,26,11,16,17,13,17,20,9,8,14,9,12,22,17
1610612746,LA Clippers,35,20,15,0.571,48.1,39.3,85.6,0.459,0.85,37.5,0.34,16.6,21.7,0.763,9.7,32.5,0.87,0.75,15.5,9.9,4.9,4.3,17.7,18.8,0.9,-1.3,9,8,8,8,18,4,5,10,5,14,2,9,15,4,3,10,5,8,6,29,14,26,2,16,4,11
1610612747,Los Angeles Lakers,35,20,15,0.571,48.1,42.9,90.1,0.476,0.75,36.9,0.358,14.9,19.0,0.785,11.2,33.0,0.4,0.23,14.0,7.7,4.2,4.8,20.5,16.5,0.4,1.6,9,8,8,8,18,24,22,23,9,9,13,4,4,19,21,15,19,24,22,8,4,19,28,27,19,18
1610612763,Memphis Grizzlies,36,23,13,0.639,48.0,41.2,92.5,0.446,0.5,39.9,0.341,18.9,24.9,0.762,11.7,31.6,0.73,0.67,16.4,9.6,5.6,6.4,21.7,21.3,0.33,-8.2,2,5,6,6,25,17,27,3,17,28,4,28,28,3,23,3,9,11,5,24,22,3,30,3,21,4
1610612748,Miami Heat,33,17,16,0.515,48.5,40.9,88.0,0.465,0.5,37.5,0.362,14.8,18.4,0.801,11.2,34.0,0.27,0.38,14.9,7.2,5.1,3.6,18.8,16.5,0.8,-1.0,26,16,11,12,3,15,11,14,15,15,19,3,2,28,20,25,23,20,15,4,17,30,14,28,7,15
1610612749,Milwaukee Bucks,33,17,16,0.515,48.2,40.4,89.3,0.453,0.38,38.2,0.361,16.6,20.6,0.804,10.5,35.1,0.15,0.75,13.8,7.6,3.9,5.1,18.4,18.5,0.63,-1.1,26,16,11,12,16,9,18,6,20,20,18,10,8,30,9,28,27,9,23,7,1,15,7,19,12,14
1610612750,Minnesota Timberwolves,34,17,17,0.5,48.3,40.2,87.4,0.46,0.9,36.5,0.346,15.0,19.1,0.786,10.7,32.3,0.77,0.87,15.3,9.5,4.6,4.6,18.6,18.1,0.87,-1.2,21,16,14,16,11,6,8,11,4,6,5,5,5,20,12,8,8,5,10,23,11,23,10,23,5,12
1610612740,New Orleans Pelicans,36,7,29,0.194,48.1,43.5,89.5,0.486,0.17,38.2,0.369,16.4,20.6,0.795,11.7,33.8,0.15,0.18,15.2,9.0,5.5,5.5,17.8,18.5,0.2,10.0,2,28,30,29,23,25,20,29,26,19,24,8,9,25,25,22,26,26,13,21,18,9,4,18,25,29
1610612752,New York Knicks,36,24,12,0.667,48.1,40.8,88.1,0.464,0.38,37.3,0.371,15.2,19.4,0.781,10.3,30.7,0.97,0.55,13.6,6.8,4.8,4.0,19.1,17.2,0.75,-7.1,2,4,4,4,23,14,13,12,21,13,25,6,6,15,8,2,2,13,25,2,12,28,19,26,9,5
1610612760,Oklahoma City Thunder,35,30,5,0.857,48.0,36.3,85.2,0.426,0.93,38.2,0.327,17.9,23.9,0.75,12.3,35.0,0.07,0.93,18.8,6.7,4.9,6.0,17.9,20.1,1.0,-12.1,9,2,2,2,25,1,4,1,3,21,1,23,25,2,29,27,29,3,1,1,14,4,6,9,1,1
1610612753,Orlando Magic,37,21,16,0.568,48.0,37.4,80.4,0.465,1.0,31.2,0.363,17.4,22.6,0.769,8.4,32.3,1.0,1.0,17.2,8.1,4.0,6.6,20.9,20.3,0.97,-1.8,1,7,11,11,25,2,1,13,1,1,20,21,20,8,1,9,1,1,3,14,2,2,29,7,2,10
1610612755,Philadelphia 76ers,33,14,19,0.424,48.5,40.2,83.8,0.48,0.68,37.2,0.359,17.1,21.3,0.802,9.9,33.7,0.65,0.55,17.4,7.4,5.5,4.2,20.2,20.2,0.7,3.1,26,23,21,23,3,5,3,27,11,12,14,16,11,29,6,20,12,15,2,5,19,27,25,8,10,22
1610612756,Phoenix Suns,33,15,18,0.455,48.3,41.8,89.1,0.469,0.38,37.6,0.366,17.1,21.6,0.792,10.9,33.2,0.48,0.33,12.8,8.0,4.5,5.2,19.5,18.0,0.37,2.3,26,22,17,22,10,19,17,18,18,16,23,17,13,22,17,18,16,21,28,11,7,13,21,24,20,20
1610612757,Portland Trail Blazers,34,12,22,0.353,48.0,42.2,88.0,0.48,0.23,37.1,0.377,18.4,23.1,0.794,11.8,32.8,0.33,0.27,15.2,9.7,6.3,5.6,19.0,19.5,0.27,8.9,21,25,24,25,25,22,12,28,23,11,27,25,24,24,26,13,21,23,12,26,29,6,16,13,23,28
1610612758,Sacramento Kings,36,17,19,0.472,48.4,40.4,86.9,0.465,0.07,38.3,0.38,18.2,22.8,0.799,9.7,32.7,0.83,0.63,15.3,8.0,4.5,4.6,19.1,20.1,0.45,-2.1,2,16,21,20,8,10,6,16,29,22,29,24,22,27,4,11,6,12,9,13,6,24,18,10,17,9
1610612759,San Antonio Spurs,35,18,17,0.514,48.3,41.8,92.3,0.453,0.75,37.9,0.348,14.6,18.4,0.792,11.7,33.6,0.22,0.7,13.4,8.6,4.6,6.8,18.8,16.3,0.6,0.0,9,12,14,14,12,20,26,7,8,17,7,2,3,23,24,19,25,10,27,19,9,1,13,29,13,16
1610612761,Toronto Raptors,35,8,27,0.229,48.4,41.9,88.9,0.471,0.3,38.6,0.36,21.0,26.9,0.778,11.6,32.1,0.65,0.43,14.2,9.8,6.1,4.5,18.7,22.2,0.13,7.5,9,27,27,27,6,21,16,20,22,23,17,30,30,12,22,4,11,18,19,28,26,25,12,1,27,27
1610612762,Utah Jazz,34,9,25,0.265,48.0,43.7,91.3,0.478,0.13,39.7,0.36,16.7,21.8,0.767,11.0,30.6,0.93,0.18,11.8,10.3,6.4,5.0,20.1,18.7,0.17,7.1,21,26,26,26,25,26,24,26,27,27,16,12,16,5,18,1,3,25,30,30,30,16,24,17,26,26
1610612764,Washington Wizards,33,6,27,0.182,48.2,44.0,93.2,0.472,0.1,40.3,0.359,19.4,24.9,0.779,12.6,35.7,0.03,0.13,13.5,9.5,5.6,5.6,18.4,21.1,0.03,12.9,26,30,27,30,16,29,28,21,28,30,15,29,29,14,30,29,30,27,26,22,24,8,7,4,30,30
=======
